feldsam01.ring.nlnog.net,185.174.170.115,2a0b:a901::b9ff:feae:aa73
kudelski01.ring.nlnog.net,185.35.63.208,2a04:5c85:1000::28
seeweb01.ring.nlnog.net,85.94.202.10,2001:4b78:2100:3::1
cloudvps02.ring.nlnog.net,83.96.201.176,2a02:348:5e6:1::2dbf
claranet05.ring.nlnog.net,62.240.228.4,2001:a70:ff:5::4
mlab01.ring.nlnog.net,185.238.131.254,2001:678:53c:2:185:238:131:254
pcextreme02.ring.nlnog.net,185.66.251.224,2a00:f10:121:a00:46b:e6ff:fe00:1953
amazon04.ring.nlnog.net,13.113.70.195,2406:da14:c3a:4400::4
ntt02.ring.nlnog.net,5.158.213.65,2001:728:0:5000::1533
kpn01.ring.nlnog.net,134.222.92.50,2001:680:0:800f::15e
fundaments01.ring.nlnog.net,185.113.85.7,2a06:6940:1:1::412
depaul01.ring.nlnog.net,140.192.218.142,2620:0:2250:2115:d61f:92e0:1893:b57d
internetport01.ring.nlnog.net,95.143.193.43,2a03:d780:0:193::d666
overthewire01.ring.nlnog.net,119.17.170.245,2402:c00:0:31::4
fnutt01.ring.nlnog.net,193.150.22.68,2001:67c:24e4:64::68
globalconnect01.ring.nlnog.net,212.98.93.10,2a01:7e8:1:800::1b2
kampde01.ring.nlnog.net,82.141.39.25,2a02:248:2:308a:5054:ff:fe80:a9
lwlcom01.ring.nlnog.net,185.55.116.226,2a00:c380:8000:2::2
doruknet01.ring.nlnog.net,212.58.0.250,2a02:480:3411:6::2
inxza02.ring.nlnog.net,196.10.54.133,2001:43f8:1f4:a00::133
xfernet01.ring.nlnog.net,72.34.255.61,2607:f350:1:1000::3
proxsys01.ring.nlnog.net,93.95.0.217,2a03:5d80:103:ff01::aa10
unilogicnetworks01.ring.nlnog.net,62.133.200.1,2001:4128:6135:10:250:56ff:feb6:24
teamix01.ring.nlnog.net,194.150.191.55,2001:67c:14c:12f::55:1
rnp01.ring.nlnog.net,200.133.192.67,2001:12f0:500:1dc::1916:12
es01.ring.nlnog.net,198.129.33.90,2001:400:201:8000::2
melbourne01.ring.nlnog.net,37.128.187.253,2a03:b200:f::24
itafdelingen01.ring.nlnog.net,178.209.160.135,2a05:f700:2:3::2
